Question,Answer
Can you explain the right of pre-emption based on the given text?,"Yes, I can explain the right of pre-emption based on the given text. According to the text, the right of pre-emption is a legal right that arises when a co-owner of a property wishes to purchase the property before it is sold to a third party. In the given context, the right of pre-emption is relevant because Devicharan, one of the co-owners of the disputed property, has a share in the property and is vested with a right of pre-emption. This means that Devicharan has the right to purchase the property before it is sold to a third party.

The text also mentions that Beni Prasad, the plaintiff in the suit, has a right of pre-emption as the brother of the second defendant, Kirorilal. This means that Beni Prasad also has a share in the property and is vested with a right of pre-emption.

Based on the text, it appears that the right of pre-emption is a legal right that arises between co-owners of a property, and it allows them to purchase the property before it is sold to a third party."
What was the basis of the suit filed by Beni Prasad?,"The basis of the suit filed by Beni Prasad was that Devicharan and Kirorilal, as brothers, were joint owners in possession of the disputed courtyard having a half share each."
What was the legal consequence of the admission contained in the written statement in the suit of 1980?,"According to the context information, the legal consequence of the admission contained in the written statement in the suit of 1980 was that Devicharan had an interest in the courtyard which was a common amenity, and therefore, he had a right of pre-emption."
What were the issues framed by the Trial Court in the suit?,"The Trial Court framed the following issues in the suit:

1. Whether the plaintiff has the right of pre-emption in the sale deed dated 6th of January, 1990.
2. Whether there is common entrance to the ancestral house of the defendant no.1 and the house purchased by the defendant no.1 from the defendant no.2.
3. Whether the defendant no.1 is also a sharer in the disputed courtyard and he was vested with the right of pre-emption/prior purchase right in respect of the disputed house.

Please note that these issues were framed based on the pleadings and evidence presented in the suit, and do not necessarily reflect the final determination of the issues by the Trial Court."
What was the partition effected between the members of the family in 1956?,"According to the document, a partition was effected between the members of the family on 17 January 1956."
Who were the parties involved in the suit?,"The parties involved in the suit are:

1. Beni Prasad
2. Kirorilal
3. Devicharan
4. Prabhu Lal (father of the original plaintiff and the second defendant)

Note: The above information is extracted from the provided document and may not be exhaustive or accurate."
What was the sale deed executed by Kirorilal in favor of Devicharan?,The sale deed executed by Kirorilal in favor of Devicharan was a sale deed dated 6 January 1990.
What was the submission urged on behalf of the defendants?,The submission urged on behalf of the defendants was that Devicharan himself had a share in the disputed property and was vested with a right of pre-emption.
What are the questions that can be answered based solely on the given text? 1. Who are the parties involved in the case? 2. What is the dispute between the parties? 3. What is the right of pre-emption and who has it? 4. What is the decision of the Trial Court and the Appellate Court? 5. What is the argument of the appellants? 6. What is the argument of the respondents? 7. What is the provision of the Act that is relevant to the case? 8. What is the conclusion of the court? 9. What are the possible outcomes of the case? 10. What is the significance of the fact that Beni Prasad and Kirorilal were brothers?,"Based solely on the given text, the following questions can be answered:  
1. The parties involved in the case are Devicharan, Beni Prasad, and Kirorilal.  
2. The dispute between the parties is related to the right of pre-emption and the transfer of a property.  
3. The right of pre-emption is a right that accrues to certain individuals upon the transfer of immovable property, as per Section 6 of the Act. Devicharan, as the son of a person who had a right of pre-emption, has such a right.  
4. The Trial Court decreed the suit in favor of the plaintiffs, and the Appellate Court affirmed the decision.  
5. The appellants argue that the provisions of Sections 4, 5(1)(c), and 6(1)(ii) of the Act indicate that a right of pre-emption is not available when the person to whom the property has been sold is an individual who has a right of pre-emption, whether equal or inferior.  
6. The respondents argue that both the Trial Court"
How does Section 6(1)(ii) of the Act relate to the right of pre-emption?,"Section 6(1)(ii) of the Act relates to the right of pre-emption by stating that the right of pre-emption in respect of any immovable property transferred shall accrue to and vest in the owners of other immovable property with a staircase or an entrance or other right or amenity common to such other property and the property transferred. This means that if the property being transferred has a common entrance or amenity with another property owned by someone else, then the owner of that other property has the right of pre-emption over the transferred property."
"What is the meaning of ""equal or inferior right of pre-emption"" as per Section 5(1)(c)?","The term ""equal or inferior right of pre-emption"" as per Section 5(1)(c) of the Supreme Court of India's judgment refers to a situation where the person to whom the property is transferred also has a right of pre-emption under Section 6 of the Act. In other words, if the person to whom the property is transferred has a right of pre-emption that is equal or inferior to the right of pre-emption of the person claiming the right, then the right of pre-emption does not accrue to that person."
Who is the right of pre-emption available to?,The right of pre-emption is available to the owners of other immovable property with a staircase or an entrance or other right or amenity common to such other property and the property transferred.
What is the relationship between the right of pre-emption and the transfer of immovable property?,"The relationship between the right of pre-emption and the transfer of immovable property is as follows:

The right of pre-emption accrues upon the transfer of any immovable property to the classes of persons mentioned in Section 6 of the Act. However, the opening words of Section 4 indicate that the right of pre-emption which accrues under Section 6 is subject to Section 5.

Section 5 provides for cases in which the right of pre-emption does not accrue. Clause (c) of sub-section (1) of Section 5 states that the right of pre-emption does not accrue on a transfer to any of the persons mentioned in Section 6, to any person who has an equal or inferior right of pre-emption.

In other words, in a case where a transfer is made to a person mentioned in Section 6, the right of pre-emption does not accrue to any person who has an equal or inferior right of pre-emption. Therefore, the right of pre-emption will accrue only to a person with a superior right of pre-emption.

Therefore,"
Who are the persons mentioned in Section 6(1)(ii) of the Act?,The persons mentioned in Section 6(1)(ii) of the Act are the owners of other immovable property with a staircase or an entrance or other right or amenity common to such other property and the property transferred.
Can the right of pre-emption accrue to a person who has an equal or inferior right of pre-emption?,"Yes, the right of pre-emption can accrue to a person who has an equal or inferior right of pre-emption, as per Section 5(1)(c) of the Act."
What is the significance of Section 5(1)(c) in relation to the right of pre-emption?,"Section 5(1)(c) of the Haryana Apartment Ownership Act, 1976, plays a crucial role in determining the right of pre-emption in the context of the given document. This section states that the right of pre-emption does not accrue to any person who has an equal or inferior right of pre-emption on a transfer of the property to any of the persons mentioned in Section 6. In other words, if the vendee of the property also has a right of pre-emption under Section 6, the right of pre-emption will accrue only to a person with a superior right of pre-emption.

In the given document, Beni Prasad and Kirorilal are brothers, and Beni Prasad claims a right of pre-emption when Kirorilal purports to sell the property to Devicharan. Since Beni Prasad has an equal right of pre-emption under Section 6, the right of pre-emption does not accrue to him under Section 5(1)(c). Therefore, the assertion of Beni Prasad's right of pre"
What is the effect of Section 5(1)(c) on the right of pre-emption in a case where the vendee also has a right of pre-emption under Section 6?,"According to Section 5(1)(c) of the Act, the right of pre-emption does not accrue on a transfer of the property to any of the persons mentioned in Section 6, to any person who has an equal or inferior right of pre-emption. In other words, if the vendee also has a right of pre-emption under Section 6, the right of pre-emption will accrue only to a person with a superior right of pre-emption."
Can the right of pre -emption be availed of in cases where any of the provisions of Section 5 come into operation?,"No, the right of pre -emption cannot be availed of in cases where any of the provisions of Section 5 come into operation, as per the provisions of Section 5(1)(c)."
What is the significance of Section 4 in relation to the right of pre -emption?,"Section 4 of the Transfer of Property Act, 1925, is significant in relation to the right of pre -emption as it provides the definition of ""immovable property"". According to Section 4, ""immovable property"" includes any land, building, or any other structure, together with the rights over or attached to it. This definition is crucial in determining the scope of the right of pre -emption, as it includes not only the land itself but also any other rights or amenities associated with it. Therefore, the right of pre -emption in respect of any immovable property transferred shall accrue to the persons mentioned in Section 6, including owners of other immovable property with a stair -case, entrance or other right or amenity common to such property and the property transferred."
What is the consequence of Section 5(1)(c)?,"The consequence of Section 5(1)(c) is that a right of pre-emption does not accrue on a transfer to any person mentioned in Section 6, to any person who has an equal or inferior right of pre-emption. In other words, where a transfer is to any of the persons mentioned under Section 6, the right of pre-emption to the claimant accrues only if the claimant has a superior right."
Can the right of pre -emption be excluded in cases where the transfer of property is to a person mentioned in Section 6?,"Yes, the right of pre -emption can be excluded in cases where the transfer of property is to a person mentioned in Section 6. According to Section 5(1)(c) of the Transfer of Property Act, 1963, the right of pre -emption does not accrue on a transfer to any of the persons mentioned in Section 6, to any person who has an equal or inferior right of pre -emption. This means that if the person transferring the property is mentioned in Section 6, and the person receiving the property has a right of pre -emption under Section 6, then the right of pre -emption will not accrue to that person."
What is the effect of Section 6(1)(ii)?,"The effect of Section 6(1)(ii) is that a right of pre-emption accrues in respect of an immovable property to owners of other immovable property with a staircase, entrance or other right or amenity common to such property and the property that is transferred. In other words, where a transfer is to any of the persons mentioned under Section 6, the right of pre-emption to the claimant accrues only if the claimant has a superior right."
Who has a right of pre -emption under Section 6?,"The right of pre -emption under Section 6 accrues to the owners of other immovable property with a stair -case, entrance or other right or amenity common to such property and the property that is transferred."
What is the order of preference among persons of the same class claiming the right of pre -emption?,"According to Section 6(3) of the Transfer of Property Act, 1963, among persons of the same class claiming the right of pre -emption, the person nearer in relationship to the person whose property is transferred will exclude the more remote."
What is the relationship between the right of pre -emption and the transfer of property?,"The relationship between the right of pre -emption and the transfer of property is as follows:

* The right of pre -emption does not accrue on a transfer to any of the persons mentioned in Section 6, to any person who has an equal or inferior right of pre -emption.
* In a case where a transfer is to a person mentioned in Section 6, the right of pre -emption will accrue only to a person with a superior right of pre -emption.
* The right of pre -emption, as Section 4 indicates, is subject to the provisions of Section 5. Consequently, where any of the provisions of Section 5 come into operation, the right of pre -emption would not be available.

In summary, the right of pre -emption does not accrue on a transfer to any person who has an equal or inferior right of pre -emption, and only accrues to a person with a superior right of pre -emption. Additionally, the right of pre -emption is subject to the provisions of Section 5."
Who does the right of pre -emption not accrue to?,"The right of pre -emption does not accrue to any person who has an equal or inferior right of pre -emption, as per Section 5(1)(c) of the Supreme Court of India Act, 1950."
How does the right of pre -emption accrue to a person under Section 6?,"The right of pre -emption accrues to a person under Section 6 when a transfer of immovable property is made to any of the persons mentioned in Section 6, to any person who has an equal or inferior right of pre -emption. In other words, where a transfer is to any of the persons mentioned under Section 6, the right of pre -emption to the claimant accrues only if the claimant has a superior right. The right of pre -emption, as Section 4 indicates, is subject to the provisions of Section 5. Consequently, where any of the provisions of Section 5 come into operation, the right of pre -emption would not be available."
What is the main point of contention in the case?,"The main point of contention in the case is the interpretation of Section 5(1)(c) of the Transfer of Property Act, 1982. The parties are disputing whether the right of pre-emption accrues to the plaintiff (Beni Prasad) or not, based on the relationship between the parties and the provisions of Section 6(1)(ii) of the Act."
Who are the parties involved in the case?,"The parties involved in the case are:

1. Beni Prasad
2. Devicharan
3. Kirorilal

Note: The above answer is based on the information provided in the given document and does not imply any further investigation or research."
What is the interpretation of Section 5(1)(c) of the Transfer of Property Act?,"Section 5(1)(c) of the Transfer of Property Act is interpreted as a conjunctive provision, meaning that the right of pre-emption shall not accrue on a transfer to any of the persons mentioned in Section 6, or to any person who has an equal or inferior right of pre-emption. The provision does not allow for a disjunctive interpretation, where the right of pre-emption would not accrue on a transfer to a person who is covered by any of the clauses of Section 6, or to a person who has an equal or inferior right of pre-emption. The interpretation of the provision is based on the plain text of the provision and is not an exercise of legislative re-drafting."
What is the conclusion of the court regarding the appeal?,The conclusion of the court regarding the appeal is that it is dismissed.
Who are the judges involved in the case?,The judges involved in the case are Dr Dhananjaya Y Chandrachud and Ajay Rastogi.
What is the date of the judgment?,"The date of the judgment is February 19, 2020."
Where is the case being heard?,The case is being heard in New Delhi.
What is the order of the court regarding costs?,No information available. The document does not contain any information about the order of the court regarding costs.
What is the name of the act mentioned in the text?,"The act mentioned in the text is the Transfer of Property Act, 1882."
What is the basis of Devicharan's right of pre-emption?,"According to the document, Devicharan's right of pre-emption is inferior to the right of Beni Prasad, the brother of Kirorilal, as per Section 6(3) of the Transfer of Property Act."
Who has a superior right of pre-emption in the case?,Beni Prasad has a superior right of pre-emption in the case.
Who is the rightful owner of the property according to the text?,"According to the text, the rightful owner of the property is Beni Prasad, the brother of the second defendant."
